antecedent,consequent,support,confidence,lift
"Gust_High, Budget_High",Outcome_High_Affected,0.03671639239161251,0.3255963609115679,1.170816430186026
Gust_High,Outcome_High_Affected,0.1016410604510674,0.32458207786946214,1.1671691558515347
Rain_Low,Outcome_High_Damage,0.09431819432450274,0.32683179882389657,1.163609166607512
"Rain_Med, Budget_Low",Outcome_High_Affected,0.03317829621774661,0.3182791854194457,1.1445044982444463
"Rain_High, Budget_Low",Outcome_High_Affected,0.02927627949318618,0.3146446234114506,1.1314349267554507
"Rain_High, Budget_Low",Outcome_High_Damage,0.029443628900243133,0.31644319864276776,1.126622953997596
Super_Typhoon,Outcome_High_Damage,0.09048560776456106,0.3161410740416146,1.1255473091043373
"Gust_High, Var_Efficient",Outcome_High_Affected,0.08341396923721017,0.31297696644675843,1.1254381761507777
"Gust_Med, Budget_Low",Outcome_High_Affected,0.035227412144376455,0.3127728379611121,1.1247041477230808
"Rain_Low, Gust_High",Outcome_High_Damage,0.025040302942763527,0.3147270583546434,1.120513032693635
Budget_High,Outcome_High_Damage,0.09774493676961439,0.31411774544061094,1.1183437147305366
"Gust_Low, Budget_High",Outcome_High_Damage,0.04337162579653927,0.30462338502089603,1.0845412363449847
Budget_Med,Outcome_High_Affected,0.06622586254360618,0.30142284939919445,1.083890567824607
"Gust_High, Budget_Low",Outcome_High_Affected,0.04268487557442805,0.30000699536759773,1.0787992788485952
"Gust_High, Budget_Med",Outcome_High_Deaths,0.041855405226139966,1.0,1.0751138620598675
"Budget_Med, Super_Typhoon",Outcome_High_Deaths,0.058453048303357624,1.0,1.0751138620598675
"Rain_Med, Var_Inefficient",Outcome_High_Deaths,0.026348802094210172,1.0,1.0751138620598675
"Rain_Med, Budget_Med",Outcome_High_Deaths,0.0637272769479382,1.0,1.0751138620598675
"Rain_Med, Gust_Med",Outcome_High_Deaths,0.09021621486557721,1.0,1.0751138620598675
"Rain_Med, Budget_High",Outcome_High_Deaths,0.09515155236588559,1.0,1.0751138620598675
"Gust_High, Var_Inefficient",Outcome_High_Deaths,0.027847250682121107,0.999324462697568,1.0743875825416844
"Gust_High, Budget_High",Outcome_High_Deaths,0.11259447445036957,0.998473672161907,1.0734728858430858
Var_Inefficient,Outcome_High_Deaths,0.03663886802086086,0.9975925430882835,1.0725255717617692
"Rain_Low, Budget_Med",Outcome_High_Deaths,0.0842725121369932,0.9973220822936171,1.0722347956122797
"Rain_High, Budget_High",Outcome_High_Deaths,0.12549608234127213,0.9969426680935171,1.0718268821462897
"Budget_High, Super_Typhoon",Outcome_High_Deaths,0.06255827975083786,0.9940667805431888,1.0687349755752065
"Rain_Low, Var_Efficient",Outcome_High_Affected,0.07855247532102018,0.2969183570324964,1.0676928017997893
"Gust_Med, Budget_High",Outcome_High_Deaths,0.07352553732139158,0.9912668809708106,1.0657247647325672
"Rain_Med, Gust_High",Outcome_High_Damage,0.037051454904356226,0.2989232337995613,1.064247163870819
"Rain_High, Gust_High",Outcome_High_Deaths,0.12061315494792599,0.989146734926438,1.0634453663306709
"Gust_Low, Super_Typhoon",Outcome_High_Deaths,0.05823639456569099,0.9887529452488558,1.063021997589566
"Rain_Low, Gust_Low",Outcome_High_Deaths,0.1486323718442479,0.9848387748808822,1.0588138187684937
"Gust_Low, Budget_High",Outcome_High_Deaths,0.14021863527546022,0.9848345441555793,1.058809270257074
Budget_High,Outcome_High_Deaths,0.30624892183650587,0.984175999802845,1.058101260094668
"Budget_High, Var_Efficient",Outcome_High_Deaths,0.27090060695986584,0.9834970122411396,1.0573712711549124
"Rain_Med, Gust_Low",Outcome_High_Deaths,0.07642866531925951,0.9833972212375297,1.0572639844636225
