antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Outcome_High_Damage'}),"frozenset({'Outcome_High_Mortality', 'Budget_Low', 'Inefficient_Spending', 'Rain_High'})",0.38869257950530034,0.0176678445229682,0.01060070671378092,0.027272727272727275,1.5436363636363637,1.0,0.0037333466518498174,1.0098741785277896,0.5761078998073217,0.026785714285714288,0.009777632439502944,0.3136363636363636
frozenset({'Outcome_High_Damage'}),"frozenset({'Outcome_High_Mortality', 'Inefficient_Spending', 'Budget_Low'})",0.38869257950530034,0.0176678445229682,0.01060070671378092,0.027272727272727275,1.5436363636363637,1.0,0.0037333466518498174,1.0098741785277896,0.5761078998073217,0.026785714285714288,0.009777632439502944,0.3136363636363636
"frozenset({'Outcome_High_Mortality', 'Inefficient_Spending', 'Budget_Low'})",frozenset({'Outcome_High_Damage'}),0.0176678445229682,0.38869257950530034,0.01060070671378092,0.6,1.5436363636363637,1.0,0.0037333466518498174,1.528268551236749,0.3585131894484413,0.026785714285714288,0.34566473988439306,0.3136363636363636
frozenset({'Outcome_High_Damage'}),"frozenset({'Outcome_High_Mortality', 'Inefficient_Spending'})",0.38869257950530034,0.10600706713780919,0.0636042402826855,0.16363636363636364,1.5436363636363635,1.0,0.022400079911098894,1.068904593639576,0.5761078998073217,0.14754098360655737,0.06446280991735537,0.3818181818181817
"frozenset({'Outcome_High_Mortality', 'Inefficient_Spending'})",frozenset({'Outcome_High_Damage'}),0.10600706713780919,0.38869257950530034,0.0636042402826855,0.5999999999999999,1.5436363636363633,1.0,0.022400079911098894,1.5282685512367487,0.3939393939393938,0.14754098360655737,0.34566473988439284,0.3818181818181817
frozenset({'Rain_High'}),"frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})",0.49823321554770317,0.2049469964664311,0.15547703180212014,0.3120567375886525,1.5226216678894595,1.0,0.0533656307358064,1.1556956030745693,0.6840588988476309,0.2838709677419355,0.13472025216706068,0.5353387136219124
frozenset({'Rain_High'}),"frozenset({'Inefficient_Spending', 'Budget_Low', 'Outcome_High_Damage'})",0.49823321554770317,0.028268551236749116,0.02120141342756184,0.04255319148936171,1.5053191489361704,1.0,0.0071170822460013255,1.0149195131527289,0.6690140845070424,0.04195804195804197,0.014700193423597685,0.3962765957446809
"frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})",frozenset({'Outcome_High_Mortality'}),0.2049469964664311,0.20848056537102475,0.0636042402826855,0.31034482758620685,1.4886031560490938,1.0,0.020876774588270537,1.147703180212014,0.4128395061728393,0.18181818181818177,0.12869458128078812,0.30771478667445934
frozenset({'Outcome_High_Mortality'}),"frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})",0.20848056537102475,0.2049469964664311,0.0636042402826855,0.30508474576271183,1.4886031560490938,1.0,0.020876774588270537,1.1441006636214772,0.4146825396825395,0.18181818181818177,0.1259510357815442,0.30771478667445934
"frozenset({'Inefficient_Spending', 'Budget_Low'})","frozenset({'Outcome_High_Damage', 'Rain_High'})",0.06713780918727916,0.2226148409893993,0.02120141342756184,0.3157894736842105,1.418546365914787,1.0,0.006255540710959058,1.1361783093231856,0.31628787878787873,0.07894736842105263,0.11985645933014352,0.20551378446115287
frozenset({'Inefficient_Spending'}),"frozenset({'Outcome_High_Damage', 'Rain_High'})",0.49469964664310956,0.2226148409893993,0.15547703180212014,0.3142857142857143,1.4117913832199547,1.0,0.04534954862715228,1.1336866902237925,0.5772409408773043,0.27672955974842767,0.11792207792207791,0.5063492063492063
frozenset({'Inefficient_Spending'}),"frozenset({'Outcome_High_Mortality', 'Outcome_High_Damage', 'Rain_High'})",0.49469964664310956,0.07773851590106007,0.053003533568904596,0.10714285714285714,1.3782467532467533,1.0,0.014546317222090425,1.0329328621908127,0.543123543123543,0.10204081632653061,0.031882868089764635,0.3944805194805195
"frozenset({'Outcome_High_Damage', 'Rain_High'})","frozenset({'Outcome_High_Mortality', 'Budget_Low'})",0.2226148409893993,0.10600706713780919,0.03180212014134275,0.14285714285714285,1.3476190476190475,1.0,0.008203373746706787,1.0429917550058891,0.3318181818181818,0.10714285714285714,0.041219649915302074,0.2214285714285714
"frozenset({'Outcome_High_Mortality', 'Budget_Low'})","frozenset({'Outcome_High_Damage', 'Rain_High'})",0.10600706713780919,0.2226148409893993,0.03180212014134275,0.29999999999999993,1.3476190476190473,1.0,0.008203373746706787,1.1105502271580008,0.28853754940711457,0.10714285714285714,0.09954545454545446,0.2214285714285714
frozenset({'Inefficient_Spending'}),"frozenset({'Outcome_High_Mortality', 'Rain_High'})",0.49469964664310956,0.10247349823321555,0.06713780918727916,0.13571428571428573,1.3243842364532021,1.0,0.016444205821024113,1.0384604152673538,0.4847258005152742,0.12666666666666668,0.03703599550056245,0.39544334975369455
