Year,typhoon_key,region_key,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Cumulative_Budget_To_Date,Cumulative_Variance_To_Date,Variance_Ratio_To_Date,typhoon_name_info_infra,Region_info_infra,Date,Province,Location,infra_project_count,typhoon_name_impact,Region_impact,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),_merge,merge_source,has_infra_weather_data,has_impact_data
2024,ENTENG,NCR,,,,,,,,,,,,Enteng,NCR,Severe Tropical Storm,0.0,0.0,321911.0,0.0,0.0,0.0,0.0,0.0,right_only,impact_only,False,True
2024,ENTENG,REGION I,,,,,,,,,,,,Enteng,Region I,Severe Tropical Storm,0.0,1.0,180607.0,2.0,20.0,22.0,69500000.0,23602504.0,right_only,impact_only,False,True
2024,ENTENG,REGION II,,,,,,,,,,,,Enteng,Region II,Severe Tropical Storm,0.0,1.0,7764.0,0.0,0.0,0.0,111920772.5,83623466.25,right_only,impact_only,False,True
2024,ENTENG,REGION III,948.8,82.0,16801381850.83,112155661.38000003,0.004945844661377075,Enteng,Region III,2024-09-01,Aurora,"Casiguran, Aurora",4.0,Enteng,Region III,Severe Tropical Storm,0.0,0.0,930343.0,14.0,83.0,97.0,0.0,1100469046.81,both,both,True,True
2024,ENTENG,REGION IV A,639.75,45.0,17709520130.010002,120027748.97999986,0.006777583361878,Enteng,Region IV-A,2024-09-01,Quezon,"Mulanay, Quezon",3.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,ENTENG,REGION V,517.8,36.0,5590118821.09,104395735.78999999,0.01975663893419885,Enteng,Region V,2024-09-01,Catanduanes,"Virac, Catanduanes",2.0,Enteng,Region V,Severe Tropical Storm,0.0,0.0,1199257.0,63.0,5656.0,5719.0,356146667.5,688367118.09,both,both,True,True
2024,ENTENG,REGION VI,,,,,,,,,,,,Enteng,Region VI,Severe Tropical Storm,1.0,0.0,1199.0,0.0,2.0,2.0,0.0,7446882.9,right_only,impact_only,False,True
2024,ENTENG,REGION VII,,,,,,,,,,,,Enteng,Region VII,Severe Tropical Storm,0.0,0.0,74.0,5.0,5.0,10.0,0.0,0.0,right_only,impact_only,False,True
2024,ENTENG,REGION VIII,,,,,,,,,,,,Enteng,Region VIII,Severe Tropical Storm,0.0,0.0,215213.0,14.0,486.0,500.0,23645000.0,4117450.38,right_only,impact_only,False,True
2024,FERDIE,REGION IV A,148.1,0.0,5954640439.17,40009497.15999995,0.0067190450151809,Ferdie,Region IV-A,2024-09-13,Quezon,"Tayabas, Quezon",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
