Cyclone Name,Region,Year,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP)
Obet,CAR,2022,Tropical Depression,0,0,800,0,0,0,0.0,0.0
Obet,Region I,2022,Tropical Depression,0,0,120,0,0,0,0.0,0.0
Obet,Region II,2022,Tropical Depression,0,0,9974,0,0,0,0.0,0.0
Paeng,BARMM,2022,Severe Tropical Storm,68,169,1077338,1062,1153,2215,511200000.0,639521156.56
Paeng,CALABARZON,2022,Severe Tropical Storm,23,22,1052028,1697,17703,19400,1769377360.69,726119476.09
Paeng,CAR,2022,Severe Tropical Storm,1,6,36715,27,606,633,736841482.19,30726340.61
Paeng,NCR,2022,Severe Tropical Storm,0,1,37151,0,0,0,0.0,0.0
Paeng,Region I,2022,Severe Tropical Storm,0,0,38491,33,978,1011,63200000.0,52800110.5
Paeng,Region II,2022,Severe Tropical Storm,0,1,331721,50,38,88,531938218.7,1217948410.99
Paeng,Region III,2022,Severe Tropical Storm,2,0,445667,143,489,632,54700000.0,541956406.11
Paeng,Region IV-B,2022,Severe Tropical Storm,3,5,217573,242,3374,3616,1017659772.0,337343911.17
Paeng,Region IX,2022,Severe Tropical Storm,0,0,79636,148,157,305,0.0,2360000.0
Paeng,Region V,2022,Severe Tropical Storm,0,0,269616,242,3295,3537,793374689.99,924124008.65
Paeng,Region VI,2022,Severe Tropical Storm,34,0,1773525,2185,24992,27177,661675.0,2638512154.7
Paeng,Region VII,2022,Severe Tropical Storm,0,0,1699,11,39,50,277000000.0,0.0
Paeng,Region VIII,2022,Severe Tropical Storm,0,26,398480,167,6332,6499,0.0,0.0
Paeng,Region X,2022,Severe Tropical Storm,0,0,6104,95,669,764,110050000.0,1354500.0
Paeng,Region XI,2022,Severe Tropical Storm,0,0,9324,109,515,624,2500000.0,10000.0
Paeng,Region XII,2022,Severe Tropical Storm,3,2,202492,409,1431,1840,0.0,0.0
Rosal,CARAGA,2022,Tropical Storm,0,0,55,0,0,0,0.0,0.0
Amang,CALABARZON,2023,Tropical Depression,0,0,1088,0,0,0,0.0,0.0
Amang,Region V,2023,Tropical Depression,0,0,95337,0,0,0,0.0,12341646.77
Betty,CAR,2023,Super Typhoon,0,1,22017,1,43,44,0.0,25000.0
Betty,Region I,2023,Super Typhoon,0,0,4917,1,10,11,0.0,108000.0
Betty,Region II,2023,Super Typhoon,0,0,24355,0,0,0,0.0,0.0
Betty,Region III,2023,Super Typhoon,0,0,11361,2,2,4,0.0,0.0
Betty,Region IV-B,2023,Super Typhoon,0,0,2200,0,0,0,0.0,0.0
Betty,Region VI,2023,Super Typhoon,0,0,39455,7,36,43,0.0,0.0
Dodong,CALABARZON,2023,Tropical Storm,0,0,193,0,14,14,0.0,0.0
Dodong,NCR,2023,Tropical Storm,0,0,0,0,0,0,0.0,0.0
Dodong,Region I,2023,Tropical Storm,0,0,27485,0,0,0,0.0,0.0
Dodong,Region II,2023,Tropical Storm,0,0,157691,45,108,153,0.0,199000000.0
Dodong,Region III,2023,Tropical Storm,0,0,220078,0,0,0,100000000.0,0.0
Dodong,Region IV-B,2023,Tropical Storm,0,0,130,0,0,0,0.0,0.0
Dodong,Region VI,2023,Tropical Storm,0,0,23171,0,0,0,0.0,0.0
Egay,CALABARZON,2023,Super Typhoon,0,0,10520,0,0,0,0.0,213500.0
Egay,CAR,2023,Super Typhoon,2,0,35231,1,114,115,736841482.19,50201787.23
Egay,Region I,2023,Super Typhoon,0,0,945781,421,55966,56387,638510000.0,721200000.0
Egay,Region II,2023,Super Typhoon,0,0,395618,203,7300,7503,862300000.0,593443500.93
