Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Province,Region
Pepito,2024,"Legazpi City, Albay",163.7,25.0,Albay,Region V
Romina,2024,"Catarman, Northern Samar",327.2,22.81852984927822,Northern Samar,Region VIII
Romina,2024,"Puerto Princesa City, Palawan",220.6,22.81852984927822,Palawan,Region IV-B
Romina,2024,"Borongan City, Eastern Samar",136.8,22.81852984927822,Eastern Samar,Region VIII
Romina,2024,"Catbalogan City, Samar",103.6,22.81852984927822,Samar,Region VIII
Romina,2024,"Juban, Sorsogon",87.0,22.81852984927822,Sorsogon,Region V
Crising,2025,"Mt. Matulid, Norzagaray, Bulacan",225.0,15.0,Bulacan,Region III
Crising,2025,"Bacnotan, La Union",214.6,17.0,La Union,Region I
Crising,2025,"Sinait, Ilocos Sur",202.6,17.0,Ilocos Sur,Region I
Crising,2025,"Abucay, Bataan",200.8,15.0,Bataan,Region III
Crising,2025,"Angat Dam, Norzagaray, Bulacan",197.0,15.0,Bulacan,Region III
Crising,2025,"Calayan, Cagayan",208.0285714285714,28.0,Cagayan,Region II
Crising,2025,"Itbayat, Batanes",208.0285714285714,20.0,Batanes,Region II
Crising,2025,"Laoag, Ilocos Norte",208.6,17.0,Ilocos Norte,Region I
Crising,2025,"Baler, Aurora",207.6,15.0,Aurora,Region III
Crising,2025,"Aparri, Cagayan",208.0285714285714,14.0,Cagayan,Region II
Emong,2025,Baguio City,302.0,25.0,Benguet,CAR
Emong,2025,"Cubi Point, Subic Bay",280.1,20.0,Zambales,Region III
Emong,2025,"Bacnotan, La Union",275.9,22.0,La Union,Region I
Emong,2025,"Abucay, Bataan",234.3,17.0,Bataan,Region III
Emong,2025,"Iba, Zambales",206.4,21.0,Zambales,Region III
Emong,2025,"Calayan, Cagayan",200.98181818181817,18.0,Cagayan,Region II
Isang,2025,"Iba, Zambales",173.2,10.0,Zambales,Region III
Isang,2025,"Juban, Sorsogon",152.6,11.458333333333334,Sorsogon,Region V
Isang,2025,"La Carlota City, Negros Occidental",127.0,11.458333333333334,Negros Occidental,Region VI
Isang,2025,"San Jose, Occidental Mindoro",77.7,11.458333333333334,Occidental Mindoro,Region IV-B
Isang,2025,"Cubi Point, Subic Bay",72.0,10.75,Zambales,Region III
